Exam,Type,Q#,Course/Grade,Unit,Section,Cluster,Standard,Curriculum Notes
2024,MC,18,8th Grade,6,6.B: Associations in Data,Stats and Probability,NY-8.SP.3,
2024,MC,19,8th Grade,1,1.D: Angles in a Triangle,Geometry,NY-8.G.2,
2024,MC,20,8th Grade,5,5.B: Representing and Interpreting Functions,Functions,NY-8.F.3,
2024,MC,22,8th Grade,2,2.A: Dilations,Geometry,NY-8.G.4,
2024,MC,23,8th Grade,1,1.D: Angles in a Triangle,Geometry,NY-8.G.5,
2024,MC,27,8th Grade,7,7.A: Exponent Rules,Expressions and Equations,NY-8.EE.1,
2024,MC,30,8th Grade,8,8.B: Pythagorean Theorem,Geometry,NY-8.G.8,
2024,MC,33,8th Grade,5,5.B: Representing and Interpreting Functions,Functions,NY-8.F.3,
2024,MC,34,8th Grade,1,1.D: Angles in a Triangle,Geometry,NY-8.G.2,
2024,MC,35,8th Grade,5,5.D: Cylinders and Cones,Geometry,NY-8.G.9,
2024,MC,36,8th Grade,4,4.B: Linear Equations in One Variable,Expressions and Equations,NY-8.EE.7,
2024,MC,37,8th Grade,8,8.D: Rational and Irrational Numbers,Number Systems,NY-8.NS.2,
2024,MC,38,8th Grade,5,5.A: Inputs and Outputs,Functions,NY-8.F.1,
2024,CR,39,8th Grade,5,5.D: Cylinders and Cones,Geometry,NY-8.G.9,
2024,CR,40,8th Grade,8,8.A: Side Lengths and Areas of Squares,Expressions and Equations,NY-8.EE.2,
2024,CR,41,8th Grade,8,8.B: Pythaogrean Thoerem,Geometry,NY-8.G.8,
2024,CR,42,8th Grade,1,1.D: Angles in a Triangle,Geometry,NY-8.G.5,
2024,CR,43,8th Grade,6,6.B: Associations in Numerical Data,Stats and Probability,NY-8.SP.3,
2024,CR,44,8th Grade,3,3.A: Proportional Relationships,Expressions and Equations,NY-8.EE.5,
2024,CR,45,8th Grade,5,5.C: Linear Functions and Rates of Change,Functions,NY-8.F.4,
2024,CR,46,8th Grade,4,4.B: Linear Equations in One Variable,Expressions and Equations,NY-8.EE.7,
2024,CR,47,8th Grade,8,8.D: Rational And Irrational Numbers,Number Systems,NY-8.NS.1,
2024,CR,48,8th Grade,3,3.B: Representing Linear Relationships,Expressions and Equations,NY-8.EE.5,
2025,MC,2,8th Grade,6,6.B :Associations in Numerical Data,Statistics and Probability,NY-8.SP2,
2025,MC,4,7th Grade,7,7.C: Slicing Solids,Geometry,NY-7.G.3,***in 7th grade
2025,MC,7,8th Grade,8,8.B: Pythagorean Theorem,Geometry,NY-8.G.7,
2025,MC,8,8th Grade,3,3.B: Representing Linear Relationships,Expressions and Equations,NY-8.EE.6,
2025,MC,12,8th Grade,5,5.D: Cylinders and Cones,Geometry,NY-8.G.9,
2025,MC,14,8th Grade,4,4.A: Equivilent Equations,Expressions and Equations,NY-8.EE.7b,
2025,MC,15,8th Grade,8,8.A: Side Lengths and Areas of Squares,Number Sense,NY-8.NS.1/NY-8.EE.2,
2025,MC,16,8th Grade,7,7.B: More Exponent Rules,Expressions and Equations,NY-8.EE.1,
2025,MC,17,8th Grade,1,1.B: Properties of Rigid Transformations,Geometry,NY-8.G.1c,
2025,MC,19,8th Grade,2,2.A: Dilations,Geometry,NY-8.G.3,
2025,MC,27,8th Grade,5,5.D: Cylinders and Cones,Geometry,NY-8.G.9,
2025,MC,28,8th Grade,2,2.B: Similarity,Geometry,NY-8.G.4,
2025,MC,30,8th Grade,4,4.B: Linear Equations in One Variables,Expressions and Equations,NY-8.EE.7a,
2025,MC,31,7th Grade,7,7.A: Angles Relationships,Geometry,NY-7.G.5,***in 7th grade
2025,MC,32,8th Grade,3,3.A: Proportional Relationships,Expressions and Equations,NY-8.EE.5,
2025,MC,33,8th Grade,7,7.A: Exponent Rules,Expressions and Equations,NY-8.EE.1,
2025,MC,34,8th Grade,1,1.C: Congruence,Geometry,NY-8.G.1a,
2025,MC,35,8th Grade,2,2.C: Slope,Expressions and Equations,NY-8.EE.6,
2025,MC,36,8th Grade,5,5.A: Inputs and Outputs,Functions,NY-8.F.1,
2025,MC,37,8th Grade,8,8.A: Side Lengths and Areas of Squares,Number Sense,NY-8.NS.2,
2025,MC,38,8th Grade,6,6.B: Asociations in Numerical Data,Statistics and Probability,NY-8.SP.1,
2025,CR,39,8th Grade,3,3.B: Representing Linear Relationships,Functions,NY-8.F.4,
2025,CR,40,7th  Grade,3,3.A: Circumference of a circle,Geometry,NY-7.G.4,***in 7th grade
2025,CR,41,8th Grade,3,8.3: Representing Linear Relationships,Functions,NY-8.F.2,
2025,CR,42,8th Grade,8,8.A: Side Lengths and Areas of Squares,Expressions and Equations,NY-8.EE.2/NY-8.NS.1,
2025,CR,43,8th Grade,5,5.C: Linear Functions and Rates of Change,Functions,NY-8.F.3,
2025,CR,44,8th Grade,5,5.B: Representing and Interpreting Functions & 5.C: Linear Functions and Rates of Change,Functions,NY-8.F.5,
2025,CR,45,8th Grade,4,4.A: Equivalent Equations,Expressions and Equations,NY-8.EE.7b,
2025,CR,46,8th Grade,1,1.A: Rigid Transformations,Geometry,NY-8.G.3,
2025,CR,47,8th Grade,8,8.B: The Pythogram Theorem,Geometry,NY-8.G.6,
2025,CR,48,8th Grade,3,3.B: Representing Linear Relationships,Expressions and Equations,NY-8.EE.5,
