Exam,Type,Q#,Grade,Unit,Section,Cluster,Standard,Curriculum Notes: Grade 6 Overview and Standards Breakdown
Spring 2025,MC,27,6,7,"Expressions & Equations - 6.6.2, 6.6.3, 6.6.4, 6.6.5, 6.6.8, 6.6.15, 6.7.9, 6.7.10",Expressions and Equations ,NY-6.EE.5,"Grade 6, Unit 7, Lesson 9: ""Solutions of Inequalities"".
From the ""Amusement Park Rides"" activity:
""Write three values that are solutions to both h < 75 and h > 64"". This is similar because students need to find values that make inequalities true"""
Spring 2025,MC,28,6,2 Introducing Ratios,6.2 Section E: Part-Part-Whole Ratios,Ratios and Proportional Relationships,NY-6.RP.1 ,"Grade 6, Unit 2, Lesson 15: ""Part-Part-Whole Ratios"" 
From the ""Seasoning, Sneakers, and Concrete"" activity: 
""The ratio of students wearing sneakers to those wearing boots is 5 to 6. If there are 33 students in the class, and all of them are wearing either sneakers or boots, how many of them are wearing sneakers?"""
Spring 2025,MC,30,6,6,"Area & Surface Area/ Expressions & Equations  - 6.1.5, 6.1.9, 6.1.18, 6.6.7, 6.7.10",Expressions and Equations ,NY-6.EE.2a,"Grade 6, Unit 6, Lesson 7: ""Write Expressions with Variables"" 
From Problem 5: 
""Han's house is 450 meters from school. Lin lives 135 meters closer to school than Han does. What is the distance of Lin's house from school, z?"""
Spring 2025,MC,31,6,7,"Rational Numbers - 6.7.1, 6.7.5",The Number System,NY-6.NS.5,"Grade 6, Unit 7, Lesson 5: ""Using Negative Numbers to Make Sense of Contexts"" 
From ""The Hardware Store"" activity: 
""The manager of a hardware store keeps records of all of the items purchased and sold. The table shows some of the records for Tuesday hammer: quantity -12, value $85.14, washer: quantity 300, value -$15.00"""
Spring 2025,MC,32,6,3 Unit Rates and Percentages,Unit Rates & Percentages - 6.3.3 - 6.3.4,Ratios and Proportional Relationships,NY-6.RP.3d,"Grade 6, Unit 3, Lesson 3: ""Converting Units"" 
From the ""Road Sign"" activity: 
""A distance of 8 kilometers is approximately 5 miles. How many kilometers are in 1 mile? How many miles are in 1 kilometer? The speed limit on a Canadian highway is 80 kilometers per hour. An American driver was driving 75 miles per hour. Was the American driving too fast?"""
Spring 2025,MC,33,5,7,"Shapes on the Coordinate Plane - 5.7.9, 5.7.10, 5.7.11, 5.7.13",Operations and Algebraic Thinking,NY-5.OA.3,"Grade 5, Unit 7, Lesson 11: ""Patterns and Ordered Pairs"" 
From ""Patterns on the Coordinate Grid (Part 2)"" activity: 
""Use the rules to complete the table. Both patterns start with 0. Rule 1: Add 2 Rule 2: Add 5 Plot and label the points from the table."""
Spring 2025,MC,34,6,4,"Dividing Fractions - 6.4.14, 6.4.15, 6.4.17,",Geometry,NY-6.G.2,"Grade 6, Unit 4, Lesson 15: ""Volume of Prisms""
From the ""Fish Tank"" activity:
""A nature center has a fish tank in the shape of a rectangular prism. The tank is 10 feet long, 8¼ feet wide, and 6 feet tall.
What is the volume of the tank in cubic feet? Show your reasoning."""
Spring 2025,MC,35,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.2.10, 6.3.1, 6.3.5, 6.3.6, 6.3.7",Ratios and Proportional Relationships,NY-6.RP.2 ,"Grade 6, Unit 3, Lesson 5: ""Interpreting Rates""
From the ""Laundry Detergent and Raffle Tickets"" activity:
""A laundry service uses 10 gallons of detergent every 6 weeks. a. How many gallons of detergent does the laundry service use per week? b. How many weeks does it take the laundry service to use 1 gallon of detergent? c. How many weeks will it take the laundry service to finish 3 gallons of detergent?"""
Spring 2025,MC,36,6,1 Area and Surface Area,6.1 Section B: Parallelograms,Geometry,NY-6.G.1 ,"Grade 6, Unit 1, Lesson 6: ""Area of Parallelograms"" 
From ""More Areas of Parallelograms"" activity: 
""Find the area of each parallelogram. Show your reasoning. [Shows parallelograms with base and height measurements] In Parallelogram B, what is the corresponding height for the base that is 10 cm long?"""
Spring 2025,CR,37,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.3.10 - 6.3.16, 6.6.7",Ratios and Proportional Relationships,NY-6.RP.3c,"Grade 6, Unit 3, Lesson 14: ""Solving Percentage Problems"" 
From the ""Matching the Percentage"" activity: 
""Match each question in the left column with a percentage in the right column: 5 is what percentage of 20? 3 is what percentage of 30? 6 is what percentage of 8? 20 is what percentage of 5?"""
Spring 2025,CR,38,6,7,"Rational Numbers - 6.7.8, 6.7.9, 6.7.10, 6.7.19",Expressions and Equations ,NY-6.EE.8,"Grade 6, Unit 7, Lessons 8 ""Writing and Graphing Inequalities"" 
From the ""Amusement Park Rides"" activity:
""Write equations and/or inequalities for the height requirements of each ride. Use h for the unknown height. Then, represent each height requirement on a number line."" For example: ""Twirl-O-Coaster: 58 inches minimum"" → h ≥ 58"""
Spring 2025,CR,39,6,7,"Rational Numbers - 6.7.16, 6.7.17, 6.7.18",The Number System,NY-6.NS.4 ,"From Grade 6, Unit 7, Lesson 16: ""Common Factors""
From the ""Greatest Common Factor"" activity:
""Partner A: A student claims that 6 is the greatest common factor of 24 and 36 because both numbers are multiples of 6. Is the student's claim correct? Find all the factors of both numbers to verify or disprove the claim.
Partner B: Another student says that to find the greatest common factor of 40 and 60, you only need to list the factors until you find the first one they share. What's wrong with this strategy? Explain how to find the greatest common factor correctly."""
Spring 2025,CR,40,6,6,"Expressions & Equations - 6.6.12, 6.6.13, 6.6.14, 6.6.15",Expressions and Equations ,NY-6.EE.1 ,"Grade 6, Unit 6, Lesson 14: ""Evaluating Expressions with Exponents"" 
From the ""Row Game: Expression Explosion"" activity: 
""Find the value of the expressions in one of the columns. Your partner will work on the other column. Check with your partner after you finish each row. Your answers in each row should be the same."""
Spring 2025,CR,41,6,6,"Expressions & Equations - 6.6.16, 6.6.17, 6.6.18, 6.6.19",Expressions and Equations ,NY-6.EE.9,"From Grade 6, Unit 6, Lesson 18: ""More Relationships""
From the ""Making a Banner"" activity:
""A movie theater charges $8 per ticket. Given the equation c = 8t, where t is the number of tickets purchased and c is the total cost in dollars, what is the relationship between t and c? Be sure to identify which variable is independent and which is dependent in your answer."""
Spring 2025,CR,42,6,1 Area and Surface Area,6.1 Section D: Surface Area,Geometry,NY-6.G.4,"Grade 6, Unit 1, Lesson 14: ""Nets and Surface Area""
From the ""Using Nets to Find Surface Area"" activity:
""Find the surface area of each polyhedron. Explain or show your reasoning."""
Spring 2025,CR,43,6,4,"Dividing Fractions - 6.4.1-6.4.14, 6.4.16, 6.4.17",The Number System,NY-6.NS.1 ,"From Grade 6, Unit 4, Lesson 16: ""Solving Problems Involving Fractions""
From the ""Situations with ¾ and ½"" activity:
Priya's goal was to collect ½ kilogram of cans to recycle. She collected ¾ kilogram of cans. How many times her goal was the amount of cans she collected? Show your work using what you know about dividing fractions."
Spring 2025,CR,44,6,7,"Rational Numbers - 6.7.11, 6.7.13, 6.7.14, 6.7.15, 6.7.19",The Number System,NY-6.NS.8,"Grade 6, Unit 7, Lesson 14: ""Distances in the Coordinate Plane"".
From the ""Finding Distances in a Coordinate Plane"" activity:
""Find the distance between points B and C"". The lesson specifically focuses on: Finding horizontal and vertical distances between points, using coordinates to calculate distances, understanding how coordinates relate to distance"""
Spring 2025,CR,45,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.2.8, 6.2.9, 6.2.10, 6.3.4, 6.3.5, 6.3.6, 6.3.7, 6.3.8, 6.3.9, 6.6.16, 6.6.17",Ratios and Proportional Relationships,NY-6.RP.3b,"From Grade 6, Unit 3, Lesson 6: ""Equivalent Ratios Have the Same Unit Rates""
From the ""How Much Applesauce?"" activity:
""It takes 4 pounds of apples to make 6 cups of applesauce. At this rate:
1. How much applesauce can you make with: 7 pounds of apples? 10 pounds of apples?
2. How many pounds of apples would you need to make: 9 cups of applesauce? 20 cups of applesauce?"""
Spring 2025,CR,46,6,6,"Expressions & Equations - 6.6.3, 6.6.4, 6.6.5, 6.6.7, 6.6.9,6.6.19",Expressions and Equations ,NY-6.EE.7,"From Grade 6, Unit 6, Lesson 19: ""Tables, Equations, and Graphs, Oh My!""
From the ""Getting to Know an Equation"" activity:
S−2=T.  S is the number of sides on a polygon. T is the number of triangles you can draw inside the polygon (from one vertex to the others, without overlapping)."
Spring 2024,MC,2,6,6,"Area & Surface Area/ Expressions & Equations  - 6.1.5, 6.1.9, 6.1.18, 6.6.7, 6.7.10",Expressions and Equations ,NY-6.EE.2a,"Grade 6, Unit 6, Lesson 7: ""Write Expressions with Variables""
From the ""Building Expressions"" activtiy:
Question 1.b: ""Another esport player scored p fewer points than Priya. Write an expression that can be used to find their score.""
Question 4.a: ""A school paid $31.25 for each calculator. If the school bought c calculators, how much did they pay?"""
Spring 2024,MC,3,6,7,"Expressions & Equations - 6.6.2, 6.6.3, 6.6.4, 6.6.5, 6.6.8, 6.6.15, 6.7.9, 6.7.10",Expressions and Equations ,NY-6.EE.5,"Grade 6, Unit 7, Lesson 9: ""Solutions of Inequalities"".
From the ""Amusement Park Rides"" activity:
""Write three values that are solutions to both h < 75 and h > 64"". This is similar because students need to find values that make inequalities true"""
Spring 2024,MC,4,6,7,"Rational Numbers - 6.7.11, 6.7.13, 6.7.14, 6.7.15, 6.7.19",The Number System,NY-6.NS.8,"Grade 6, Unit 7, Lesson 14: ""Distances in the Coordinate Plane"".
From the ""Finding Distances in a Coordinate Plane"" activity:
""Find the distance between points B and C"". The lesson specifically focuses on: Finding horizontal and vertical distances between points, using coordinates to calculate distances, understanding how coordinates relate to distance"""
Spring 2024,MC,11,6,7,"Rational Numbers - 6.7.8, 6.7.9, 6.7.10, 6.7.19",Expressions and Equations ,NY-6.EE.8,"Grade 6, Unit 7, Lessons 8 ""Writing and Graphing Inequalities"" 
From the ""Amusement Park Rides"" activity:
""Write equations and/or inequalities for the height requirements of each ride. Use h for the unknown height. Then, represent each height requirement on a number line."" For example: ""Twirl-O-Coaster: 58 inches minimum"" → h ≥ 58"""
Spring 2024,MC,14,6,6,"Expressions & Equations - 6.6.12, 6.6.13, 6.6.14, 6.6.15",Expressions and Equations ,NY-6.EE.1,"Grade 6, Unit 6, Lesson 14: ""Evaluating Expressions with Exponents""
Question from Activity 2 ""Expression Explosion"""
Spring 2024,MC,15,6,4,"Dividing Fractions - 6.4.1-6.4.14, 6.4.16, 6.4.17",The Number System,NY-6.NS.1,"Grade 6, Unit 4, Lesson 16: ""Solving Problems Involving Fractions"" 
Question D1.& D2. from Activity 2 ""Pairs of Problems"""
Spring 2024,MC,18,6,7,"Rational Numbers - 6.7.2, 6.7.4, 6.7.7,",The Number System,NY-6.NS.6a,"Grade 6, Unit 7, Lesson 2: ""Points on the Number Line"",
From the ""Folded Number Lines Activity"" 
""Two numbers that are the same distance from 0 on the number line are called opposites. Find another pair of opposites on the number line."""
Spring 2024,MC,20,6,4,"Dividing Fractions - 6.4.14, 6.4.15, 6.4.17,",Geometry,NY-6.G.2,"Grade 6, Unit 4, Lesson 15: ""Volume of Prisms""
From the ""Fish Tank"" activity:
""A nature center has a fish tank in the shape of a rectangular prism. The tank is 10 feet long, 8¼ feet wide, and 6 feet tall.
What is the volume of the tank in cubic feet? Show your reasoning."""
Spring 2024,MC,22,6,6,"Expressions & Equations - 6.6.1, 6.6.3, 6.6.4, 6.6.5, 6.6.6, 6.6.7, 6.7.8, 6.7.10",Expressions and Equations ,NY-6.EE.6,"Grade 6, Unit 6, Lesson 7: ""Write Expressions with Variables""
From the ""Building Expressions"" activity:
""Clare is 5 years older than her cousin.
Suppose Clare's cousin is 10 years old. How can you find Clare's age?"""
Spring 2024,MC,23,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.3.2, 6.3.3, 6.3.4, 6.3.9",Ratios and Proportional Relationships,NY-6.RP.3d,"Grade 6, Unit 3, Lesson 3: ""Converting Units"",
From the ""Measurement Stations"" activity, Station 3:
""Your teacher prepared a gallon of water and some bottles.
Count how many times you can fill the quart bottle with a gallon of water. Count how many times you can fill the liter bottle with a gallon of water."""
Spring 2024,MC,26,6,7,"Rational Numbers - 6.7.11, 6.7.14",The Number System,NY-6.NS.6b,"Grade 6, Unit 7, Lesson 14: ""Signs of Numbers in Coordinates""
From the ""Signs of Numbers in Coordinates"" activity:
""Point G has the same coordinates as point E, except its x-coordinate has the opposite sign.
Plot point G in the coordinate plane, and label it with its coordinates.
How far away are G and E from the y-axis?"""
Spring 2024,MC,28,6,1 Area and Surface Area,6.1 Section A: Reasoning to Find Area,Geometry,NY-6.G.1,"Grade 6, Unit 1, Lesson 3: ""Reasoning to Find Area""
From the ""Off the Grid"" activity:
[Shows a trapezoid labeled E with base lengths and height marked]
""Find the area of the shaded region(s) of each figure. Explain or show your reasoning."""
Spring 2024,MC,29,6,7,"Rational Numbers - 6.7.3, 6.7.9",The Number System,NY-6.NS.7a,"Grade 6, Unit 7, Lesson 4: ""Ordering Rational Numbers""
From the ""How Do They Compare?"" activity:
""Use the symbols >, <, or = to compare each pair of numbers. Be prepared to explain your reasoning.""
19/24 ___ 19/21
16/17 ___ 11/12"
Spring 2024,MC,31,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.2.10, 6.3.1, 6.3.5, 6.3.6, 6.3.7",Ratios and Proportional Relationships,NY-6.RP.2,"Grade 6, Unit 3, Lesson 6: ""Equivalent Ratios Have the Same Unit Rates""
From the ""Making Bracelets"" activity:
""Clare makes bracelets at a constant speed. Complete the table. Be prepared to explain your reasoning."""
Spring 2024,MC,32,6,1 Area and Surface Area,6.1 Section D: Surface Area,Geometry,NY-6.G.4,"Grade 6, Unit 1, Lesson 14: ""Nets and Surface Area""
From the ""Using Nets to Find Surface Area"" activity:
""Find the surface area of each polyhedron. Explain or show your reasoning."""
Spring 2024,MC,33,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.3.10 - 6.3.16, 6.6.7",Ratios and Proportional Relationships,NY-6.RP.3c,"From Grade 6, Unit 3, Lesson 13: ""Lesson 13: Benchmark Percentages""
From the ""Nine is . . ."" activity:
Calculate each value mentally. Be prepared to explain your reasoning.
""9 is 50% of what number? 9 is 25% of what number? 9 is 10% of what number? 9 is 75% of what number? 9 is 150% of what number?"""
Spring 2024,MC,34,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.2.8, 6.2.9, 6.2.10, 6.3.5, 6.3.6, 6.3.7, 6.3.8, 6.3.9, 6.6.16, 6.6.17",Ratios and Proportional Relationships,NY-6.RP.3b,"From Grade 6, Unit 3, Lesson 8: ""Solving Rate Problems""
From the ""Climbing the Burj Khalifa"" activity:
""A professional climber scaled 828 meters in 6 hours. Assuming he climbed at the same rate the whole way, how far did he climb in the first 2 hours?"""
Spring 2024,MC,35,6,4,"Dividing Fractions - 6.4.14, 6.4.15, 6.4.17,",Geometry,NY-6.G.2,"Grade 6, Unit 4, Lesson 15: ""Volume of Prisms""
From the ""Fish Tank"" activity:
""A nature center has a fish tank in the shape of a rectangular prism. The tank is 10 feet long, 8¼ feet wide, and 6 feet tall.
What is the volume of the tank in cubic feet? Show your reasoning."""
Spring 2024,MC,36,6,6,"Expressions & Equations - 6.6.3, 6.6.4, 6.6.5, 6.6.7, 6.6.9,6.6.19",Expressions and Equations ,NY-6.EE.7,"Grade 6, Unit 6, Lesson 5: ""Represent Situations with Equations""
From the ""Choosing Equations to Match Situations"" activity:
""Clare learned that on a sunny day, one solar panel produces 1.5 kilowatt hours (kWh) of electricity. That's enough electricity to charge a smartphone 100 times! How many kWh of electricity is used to charge a smartphone one time?"""
Spring 2024,CR,37,6,7,"Rational Numbers - 6.7.15, 6.7.19",Geometry,NY-6.G.3,"From Grade 6, Unit 7, Lesson 14: ""Distances in the Coordinate Plane""
From the ""Finding Distances in a Coordinate Plane"" activity: 
""Find the distance between each pair of points: Points B and C, Points D and B, Points D and E
Which of the points are 5 units from (-1.5, -3)?
Which of the points are 2 units from (0.5, -4.5)?
Plot a point that is both 2.5 units from A and 9 units from E. Label that point M, and write down its coordinates."""
Spring 2024,CR,38,6,6,"Expressions & Equations - 6.6.3, 6.6.4, 6.6.5, 6.6.7, 6.6.9,6.6.19",Expressions and Equations ,NY-6.EE.7,"Grade 6, Unit 6, Lesson 4 ""Practice Solving Equations""
From the ""Row Game: Solving Equations Practice"" activity:
2x=12 We end up with a variable on one side of the equal sign and a number on the other. x=6 
This format makes it easy to read the solution (in this case 6), and we often write solutions in this way."
Spring 2024,CR,39,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.2.10, 6.3.1, 6.3.5, 6.3.6, 6.3.7",Ratios and Proportional Relationships,NY-6.RP.2,"Grade 6, Unit 3, Lesson 5: ""Interpreting Rates""
From the ""Laundry Detergent and Raffle Tickets"" activity:
""A laundry service uses 10 gallons of detergent every 6 weeks. a. How many gallons of detergent does the laundry service use per week? b. How many weeks does it take the laundry service to use 1 gallon of detergent? c. How many weeks will it take the laundry service to finish 3 gallons of detergent?"""
Spring 2024,CR,40,6,1 Area and Surface Area,6.1 Section C: Triangles and Other Polygons,Geometry,NY-6.G.1,"From Grade 6, Unit 1, Lesson 9: ""Formula for the Area of a Triangle""
From the ""Applying the Formula for Area of Triangles"" activity:
""Look at Triangle C. It has a base of 7 units and a height (perpendicular distance to the opposite vertex) of 3 units. Find its area. Then look at Triangle E, which has a base of 6 units and a height of 5 units. How does its area compare to Triangle C? Explain your reasoning."""
Spring 2024,CR,41,6,6,"Expressions & Equations - 6.5.13, 6.6.7, 6.6.10, 6.6.11",Expressions and Equations ,NY-6.EE.4,"From Grade 6, Unit 6, Lesson 2: ""Truth and Equations""
From the ""Three Letters"" activity:
""A student claims that 3x + 2 is equivalent to 5x. What is incorrect about the student's claim? Be sure to include an equivalent expression to 3x + 2 in your response."""
Spring 2024,CR,42,6,6,"Expressions & Equations - 6.6.16, 6.6.17, 6.6.18, 6.6.19",Expressions and Equations ,NY-6.EE.9,"From Grade 6, Unit 6, Lesson 18: ""More Relationships""
From the ""Making a Banner"" activity:
""A movie theater charges $8 per ticket. Given the equation c = 8t, where t is the number of tickets purchased and c is the total cost in dollars, what is the relationship between t and c? Be sure to identify which variable is independent and which is dependent in your answer."""
Spring 2024,CR,43,6,7,"Rational Numbers - 6.7.16, 6.7.17, 6.7.18",The Number System,NY-6.NS.4,"From Grade 6, Unit 7, Lesson 16: ""Common Factors""
From the ""Greatest Common Factor"" activity:
""Partner A: A student claims that 6 is the greatest common factor of 24 and 36 because both numbers are multiples of 6. Is the student's claim correct? Find all the factors of both numbers to verify or disprove the claim.
Partner B: Another student says that to find the greatest common factor of 40 and 60, you only need to list the factors until you find the first one they share. What's wrong with this strategy? Explain how to find the greatest common factor correctly."""
Spring 2024,CR,44,6,,N/A,Geometry,NY-6.G.5,"From Grade 6, Unit 1, Lesson 17: ""Squares and Cubes""
From the ""Perfect Cubes"" activity:
""A rectangular prism has a volume of 64 cubic inches. What perfect cube is represented by this volume? Be sure to explain how you know it's a perfect cube and include what you know about volume and exponents in your answer."""
Spring 2024,CR,45,6,7,"Rational Numbers - 6.7.11, 6.7.13, 6.7.14, 6.7.15, 6.7.19",The Number System,NY-6.NS.8,"Grade 6, Unit 7, Lesson 14: ""Distances in the Coordinate Plane"".
From the ""Finding Distances in a Coordinate Plane"" activity:
""Find the distance between points B and C"". The lesson specifically focuses on: Finding horizontal and vertical distances between points, using coordinates to calculate distances, understanding how coordinates relate to distance"""
Spring 2024,CR,46,6,3 Unit Rates and Percentages,"Unit Rates & Percentages - 6.3.2, 6.3.3, 6.3.4, 6.3.9",Ratios and Proportional Relationships,NY-6.RP.3a,"From Grade 6, Unit 3, Lesson 7: ""More Rate Comparisons""
Fom the ""Card Sort: Is it a Deal?"" activity:
""Mai and Tyler are both saving money for new bikes. They both start with 0 and save at a constant rate. After 4 months, Mai has saved 120 and Tyler has saved $80. After 12 months, how much more money will Mai have saved than Tyler? Show your work using what you know about rates and proportional relationships."""
Spring 2023,MC,2,6,7,"Rational Numbers - 6.7.2, 6.7.11, 6.7.12, 6.7.13, 6.7.15,",The Number System,NY-6.NS.6c,"From Grade 6, Unit 7, Lesson 2: ""Points on the Number Line"" 
From the ""What’s the Temperature?"" activity:
""Elena says that the thermometer shown here reads −2.5∘C because the line is above −2∘C. Jada says that it is −1.5∘C. Do you agree with either of them? Explain your reasoning."""
Spring 2023,MC,3,6,6,"Expressions & Equations - 6.6.16, 6.6.17, 6.6.18, 6.6.19",Expressions and Equations ,NY-6.EE.9,"From Grade 6, Unit 6, Lesson 18: ""More Relationships""
From the ""Making a Banner"" activity:
""A movie theater charges $8 per ticket. Given the equation c = 8t, where t is the number of tickets purchased and c is the total cost in dollars, what is the relationship between t and c? Be sure to identify which variable is independent and which is dependent in your answer."""
Spring 2023,MC,7,6,1 Area and Surface Area,6.1 Section D: Surface Area,Geometry,NY-6.G.4,"Grade 6, Unit 1, Lesson 14: ""Nets and Surface Area""
From the ""Using Nets to Find Surface Area"" activity:
""Find the surface area of each polyhedron. Explain or show your reasoning."""
Spring 2023,MC,12,6,6,"Expressions & Equations - 6.6.3, 6.6.4, 6.6.5, 6.6.7, 6.6.9,6.6.19",Expressions and Equations ,NY-6.EE.2a,"From Grade 6, Unit 6, Lesson 7: ""Write Expressions with Variables""
From the ""Building Expressions"" activity:
""Which expression represents ""14 less than the product of 8 and n""? 
Which expression represents ""6 more than twice the sum of y and 4?"""
Spring 2023,MC,13,6,7,"Rational Numbers - 6.7.16, 6.7.17, 6.7.18",The Number System,NY-6.NS.4,"From Grade 6, Unit 7, Lesson 17: ""Common Multiples""
From the ""Least Common Multiple"" activity:
""A student claims that 8 is the least common multiple of 4 and 8 because it's the smallest number that appears in both multiplication tables. Is the student's claim correct? List the first few multiples of each number to verify or disprove the claim."""
Spring 2023,MC,14,6,6,"Expressions & Equations - 6.6.12, 6.6.13, 6.6.14, 6.6.15",Expressions and Equations ,NY-6.EE.1,"From Grade 6, Unit 6, Lesson 14: ""Evaluating Expressions with Exponents""
From the ""Row Game: Expression Explosion"" activity:
""A student evaluates 3 × 4² as follows: Step 1: 3 × 4 = 12 Step 2: 12² = 144 What is incorrect about the student's work? Show the correct way to evaluate this expression using order of operations."""
Spring 2023,MC,15,6,1 Area and Surface Area,6.1 Section C: Triangles and Other Polygons,Geometry,NY-6.G.1,"From Grade 6, Unit 1, Lesson 9: ""Formula for the Area of a Triangle""
From the ""Applying the Formula for Area of Triangles"" activity:
""Look at Triangle C. It has a base of 7 units and a height (perpendicular distance to the opposite vertex) of 3 units. Find its area. Then look at Triangle E, which has a base of 6 units and a height of 5 units. How does its area compare to Triangle C? Explain your reasoning."""
Spring 2023,MC,17,6,7,"Rational Numbers - 6.7.6, 6.7.7, 6.7.13",The Number System,NY-6.NS.7c,"From Grade 6, Unit 7, Lesson 7: ""Comparing Numbers and Distance from Zero""
From the ""Submarine"" activity:
""A hiker recorded the elevations of four locations during their trek:
Mountain peak: 8,500 feet above sea level, Valley floor: -300 feet below sea level, Lake surface: 150 feet above sea level, Cave entrance: -275 feet below sea level.
Which location is closest to sea level? Explain your reasoning using absolute value."""
Spring 2023,MC,18,6,7,"Rational Numbers - 6.6.7, 6.7.1",Expressions and Equations ,NY-6.EE.2b,"From Grade 6, Unit 6, Lesson 7: ""Write Expressions with Variables""
From the ""Building Expressions"" activity:
""In the expression 3x + 5, what is the coefficient of x? Explain how you know this is the coefficient and not just another number in the expression.""
""In the expression 2.5n - 8, what is the coefficient of n? Explain why coefficients can be decimals and how they show multiplication with the variable."""
